Label,Location,Registration,DateTime,SpeedKM,Driver,CostCentre,lat,long
HQN882,"Main South Road, Dunsandel, Selwyn",HQN882,Tue 2 Dec 9:35 a.m.,108,,,-43.65155,172.217025
HQN882,"Main South Road, Dunsandel, Selwyn",HQN882,Tue 2 Dec 9:36 a.m.,104,,,-43.65364,172.211517
HQN882,"Main South Road, Bankside, Selwyn",HQN882,Tue 2 Dec 9:41 a.m.,105,,,-43.68108,172.138534
HQN882,"Main South Road, Bankside, Selwyn",HQN882,Tue 2 Dec 9:41 a.m.,107,,,-43.68316,172.13301
HQN882,"Rakaia Highway, Fairton, Ashburton",HQN882,Tue 2 Dec 10:01 a.m.,102,,,-43.85289,171.825637
HQN882,"Main South Road, Bankside, Selwyn",HQN882,Tue 2 Dec 1:15 p.m.,104,,,-43.71865,172.06665
HQN882,"West Coast Road, West Melton, Selwyn",HQN882,Wed 3 Dec 11:59 a.m.,101,,,-43.52338,172.335678
HQN882,"West Coast Road, Kirwee, Selwyn",HQN882,Wed 3 Dec 12:05 p.m.,101,,,-43.50687,172.227081
HQN882,"West Coast Road, Kirwee, Selwyn",HQN882,Wed 3 Dec 12:05 p.m.,101,,,-43.50405,172.222122
HQN882,"West Coast Road, Kirwee, Selwyn",HQN882,Wed 3 Dec 12:07 p.m.,104,,,-43.49793,172.199172
HQN882,"West Coast Road, Darfield, Selwyn",HQN882,Wed 3 Dec 12:08 p.m.,105,,,-43.49648,172.181381
HQN882,"West Coast Road, Darfield, Selwyn",HQN882,Wed 3 Dec 12:08 p.m.,106,,,-43.49584,172.175155
HQN882,"West Coast Road, Darfield, Selwyn",HQN882,Wed 3 Dec 12:08 p.m.,107,,,-43.49517,172.168701
HQN882,"West Coast Road, Darfield, Selwyn",HQN882,Wed 3 Dec 12:09 p.m.,106,,,-43.49454,172.16246
HQN882,"West Coast Road, Darfield, Selwyn",HQN882,Wed 3 Dec 12:09 p.m.,110,,,-43.49388,172.156112
HQN882,"West Coast Road, Darfield, Selwyn",HQN882,Wed 3 Dec 12:09 p.m.,107,,,-43.49322,172.149749
HQN882,"Rakaia Highway, Fairton, Ashburton",HQN882,Thu 4 Dec 8:45 a.m.,108,,,-43.8519,171.827209
HQN882,"Hinds Highway, Winslow, Ashburton",HQN882,Thu 4 Dec 8:59 a.m.,105,,,-43.94588,171.672561
HQN882,"Hinds Highway, Winslow, Ashburton",HQN882,Thu 4 Dec 8:59 a.m.,103,,,-43.94874,171.667343
HQN882,"Rangitata Highway, Hinds, Ashburton",HQN882,Thu 4 Dec 9:08 a.m.,103,,,-44.01916,171.520889
HQN882,"Rangitata Highway, Hinds, Ashburton",HQN882,Thu 4 Dec 9:09 a.m.,106,,,-44.02072,171.514709
HQN882,"Rangitata Highway, Hinds, Ashburton",HQN882,Thu 4 Dec 9:09 a.m.,105,,,-44.02223,171.508819
HQN882,"TimarU-Temuka Highway, Kerrytown, Timaru",HQN882,Thu 4 Dec 2:11 p.m.,101,,,-44.2768,171.260498
HQN882,"Rangitata Highway, Hinds, Ashburton",HQN882,Thu 4 Dec 2:34 p.m.,119,,,-44.04274,171.428024
HQN882,"Rangitata Highway, Hinds, Ashburton",HQN882,Thu 4 Dec 2:34 p.m.,106,,,-44.04117,171.434036
HQN882,"Near 473 Hinds Highway, Winslow 7775.",HQN882,Thu 4 Dec 2:48 p.m.,103,,,-43.95006,171.664749
HQN882,"Near 455 Hinds Highway, Winslow 7775.",HQN882,Thu 4 Dec 2:48 p.m.,104,,,-43.94719,171.669982
HQN882,"Rakaia Highway, Chertsey, Ashburton",HQN882,Thu 4 Dec 3:18 p.m.,109,,,-43.78266,171.978225
HQN882,"Main South Road, Bankside, Selwyn",HQN882,Thu 4 Dec 3:25 p.m.,107,,,-43.71955,172.065582
HQN882,"Main South Road, Bankside, Selwyn",HQN882,Thu 4 Dec 3:25 p.m.,105,,,-43.71607,172.069671
HQN882,"Main South Road, Burnham, Selwyn",HQN882,Thu 11 Dec 8:19 a.m.,114,,,-43.63074,172.273864
HQN882,"Main South Road, Burnham, Selwyn",HQN882,Thu 11 Dec 8:19 a.m.,116,,,-43.63291,172.268066
HQN882,"Main South Road, Dunsandel, Selwyn",HQN882,Thu 11 Dec 8:22 a.m.,110,,,-43.6514,172.217422
HQN882,"Main South Road, Bankside, Selwyn",HQN882,Thu 11 Dec 8:27 a.m.,105,,,-43.68122,172.138137
HQN882,"Rakaia Highway, Chertsey, Ashburton",HQN882,Thu 11 Dec 8:41 a.m.,102,,,-43.7816,171.980895
HQN882,"Rangitata Highway, Hinds, Ashburton",HQN882,Thu 11 Dec 9:20 a.m.,101,,,-44.04112,171.43428
HQN882,"OrarI-Rangitata Highway, Rangitata, Timaru",HQN882,Thu 11 Dec 9:26 a.m.,103,,,-44.07806,171.35205
HQN882,"TemukA-Orari Highway, Orari, Timaru",HQN882,Thu 11 Dec 9:32 a.m.,104,,,-44.14812,171.293395
HQN882,"TemukA-Orari Highway, Temuka, Timaru",HQN882,Thu 11 Dec 9:37 a.m.,102,,,-44.20129,171.277236
HQN882,"OrarI-Rangitata Highway, Rangitata, Timaru",HQN882,Thu 11 Dec 4:05 p.m.,102,,,-44.07898,171.350341
HQN882,"Rakaia Highway, Chertsey, Ashburton",HQN882,Thu 11 Dec 4:49 p.m.,106,,,-43.81956,171.892028
HQN882,"Rakaia Highway, Chertsey, Ashburton",HQN882,Thu 11 Dec 4:49 p.m.,108,,,-43.81722,171.897491
HQN882,"Rakaia Highway, Chertsey, Ashburton",HQN882,Thu 11 Dec 4:49 p.m.,116,,,-43.81488,171.902969
HQN882,"Main South Road, Burnham, Selwyn",HQN882,Thu 11 Dec 5:19 p.m.,109,,,-43.60925,172.33052
HQN882,"Main South Road, Burnham, Selwyn",HQN882,Thu 11 Dec 5:20 p.m.,101,,,-43.60705,172.336181
HQN882,"Main South Road, Rolleston, Selwyn",HQN882,Thu 11 Dec 5:24 p.m.,107,,,-43.58423,172.398574
HQN882,"Main South Road, Rolleston, Selwyn",HQN882,Thu 11 Dec 5:24 p.m.,101,,,-43.58292,172.404678
HQN882,"Main South Road, Templeton, Christchurch City",HQN882,Thu 11 Dec 5:28 p.m.,104,,,-43.55815,172.465393
HQN882,"Christchurch Northern Motorway, Chaneys, Christchurch City",HQN882,Tue 16 Dec 6:08 a.m.,101,,,-43.42937,172.645263
HQN882,"Christchurch Northern Motorway, Clarkville, Waimakariri",HQN882,Tue 16 Dec 6:09 a.m.,102,,,-43.41178,172.645599
HQN882,"Christchurch Northern Motorway, Kaiapoi, Waimakariri",HQN882,Tue 16 Dec 6:11 a.m.,111,,,-43.37559,172.645996
HQN882,"Christchurch Northern Motorway, Kaiapoi, Waimakariri",HQN882,Tue 16 Dec 6:12 a.m.,101,,,-43.36705,172.650039
HQN882,"Christchurch Northern Motorway, Kaiapoi, Waimakariri",HQN882,Tue 16 Dec 6:12 a.m.,106,,,-43.3626,172.652191
HQN882,"Main North Road, Woodend, Waimakariri",HQN882,Tue 16 Dec 6:14 a.m.,101,,,-43.347,172.664611
HQN882,"Main North Road, Waikuku, Waimakariri",HQN882,Tue 16 Dec 6:17 a.m.,101,,,-43.30806,172.675933
HQN882,"Main North Road, Waikuku, Waimakariri",HQN882,Tue 16 Dec 6:18 a.m.,101,,,-43.30469,172.680175
HQN882,"Main North Road, Sefton, Waimakariri",HQN882,Tue 16 Dec 6:22 a.m.,101,,,-43.24936,172.714111
HQN882,"Ashworths Road, Leithfield Beach, Hurunui",HQN882,Tue 16 Dec 6:23 a.m.,101,,,-43.24114,172.719375
HQN882,"Ashworths Road, Leithfield Beach, Hurunui",HQN882,Tue 16 Dec 6:25 a.m.,101,,,-43.21194,172.735839
HQN882,"Ashworths Road, Leithfield Beach, Hurunui",HQN882,Tue 16 Dec 6:25 a.m.,101,,,-43.20782,172.738525
HQN882,"Ashworths Road, Leithfield Beach, Hurunui",HQN882,Tue 16 Dec 6:26 a.m.,101,,,-43.1999,172.744491
HQN882,"Ashworths Road, Amberley, Hurunui",HQN882,Tue 16 Dec 6:28 a.m.,101,,,-43.17407,172.741699
HQN882,"Ashworths Road, Amberley, Hurunui",HQN882,Tue 16 Dec 6:28 a.m.,102,,,-43.1739,172.741439
HQN882,"Glasnevin Road, Amberley, Hurunui",HQN882,Tue 16 Dec 6:31 a.m.,102,,,-43.14019,172.729293
HQN882,"Glasnevin Road, Amberley, Hurunui",HQN882,Tue 16 Dec 6:33 a.m.,101,,,-43.12224,172.733596
HQN882,"Glasnevin Road, Amberley, Hurunui",HQN882,Tue 16 Dec 6:33 a.m.,101,,,-43.11769,172.734329
HQN882,"Glasnevin Road, Amberley, Hurunui",HQN882,Tue 16 Dec 6:34 a.m.,101,,,-43.10429,172.737655
HQN882,"Glasnevin Road, Amberley, Hurunui",HQN882,Tue 16 Dec 6:34 a.m.,101,,,-43.09983,172.738723
HQN882,"Glasnevin Road, Waipara, Hurunui",HQN882,Tue 16 Dec 6:35 a.m.,102,,,-43.0909,172.740814
HQN882,"Glasnevin Road, Waipara, Hurunui",HQN882,Tue 16 Dec 6:35 a.m.,101,,,-43.08228,172.744522
HQN882,"Glasnevin Road, Waipara, Hurunui",HQN882,Tue 16 Dec 6:36 a.m.,101,,,-43.07826,172.74736
HQN882,"Omihi Road, Waipara, Hurunui",HQN882,Tue 16 Dec 6:40 a.m.,103,,,-43.03914,172.793212
HQN882,"Omihi Road, Waipara, Hurunui",HQN882,Tue 16 Dec 6:40 a.m.,101,,,-43.03656,172.798233
HQN882,"Omihi Road, Omihi, Hurunui",HQN882,Tue 16 Dec 6:42 a.m.,101,,,-43.02801,172.840682
HQN882,"Omihi Road, Omihi, Hurunui",HQN882,Tue 16 Dec 6:43 a.m.,101,,,-43.01708,172.861068
HQN882,"Omihi Road, Omihi, Hurunui",HQN882,Tue 16 Dec 6:46 a.m.,104,,,-42.99704,172.88626
HQN882,"Domett Road, Domett, Hurunui",HQN882,Tue 16 Dec 7:07 a.m.,129,,,-42.8849,173.158828
HQN882,"Domett Road, Domett, Hurunui",HQN882,Tue 16 Dec 7:11 a.m.,106,,,-42.86541,173.214447
HQN882,"Domett Road, Domett, Hurunui",HQN882,Tue 16 Dec 7:11 a.m.,101,,,-42.85881,173.223297
HQN882,"Domett Road, Cheviot, Hurunui",HQN882,Tue 16 Dec 7:13 a.m.,102,,,-42.83374,173.248382
HQN882,"Domett Road, Cheviot, Hurunui",HQN882,Tue 16 Dec 7:14 a.m.,101,,,-42.83003,173.252014
HQN882,"Domett Road, Cheviot, Hurunui",HQN882,Tue 16 Dec 7:14 a.m.,102,,,-42.82142,173.255752
HQN882,"Parnassus Road, Cheviot, Hurunui",HQN882,Tue 16 Dec 7:20 a.m.,115,,,-42.75784,173.275543
HQN882,"Parnassus Road, Cheviot, Hurunui",HQN882,Tue 16 Dec 7:21 a.m.,101,,,-42.75362,173.273193
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 7:27 a.m.,101,,,-42.67781,173.306533
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 7:29 a.m.,101,,,-42.6574,173.316757
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 7:29 a.m.,101,,,-42.64841,173.316848
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 7:31 a.m.,101,,,-42.63668,173.330703
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 7:34 a.m.,102,,,-42.61469,173.376419
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 7:35 a.m.,105,,,-42.60435,173.402084
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 7:35 a.m.,102,,,-42.60435,173.403167
HQN882,"Kincaid Road, Kaikoura, Kaikoura",HQN882,Tue 16 Dec 8:27 a.m.,114,,,-42.32797,173.713714
HQN882,"State Highway 1, Hapuku, Kaikoura",HQN882,Tue 16 Dec 8:31 a.m.,102,,,-42.29843,173.747497
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 8:52 a.m.,106,,,-42.12943,173.921676
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 8:52 a.m.,101,,,-42.12483,173.922073
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 8:53 a.m.,101,,,-42.11585,173.923721
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 8:53 a.m.,101,,,-42.1114,173.925003
HQN882,"State Highway 1, Ward, Marlborough",HQN882,Tue 16 Dec 9:15 a.m.,104,,,-41.87009,174.117904
HQN882,"State Highway 1, Ward, Marlborough",HQN882,Tue 16 Dec 9:15 a.m.,101,,,-41.86097,174.117965
HQN882,"State Highway 1, Ward, Marlborough",HQN882,Tue 16 Dec 9:21 a.m.,101,,,-41.794,174.147415
HQN882,"State Highway 1, Ward, Marlborough",HQN882,Tue 16 Dec 9:24 a.m.,101,,,-41.74571,174.13626
HQN882,"State Highway 1, Seddon, Marlborough",HQN882,Tue 16 Dec 9:27 a.m.,101,,,-41.71797,174.108749
HQN882,"State Highway 1, Seddon, Marlborough",HQN882,Tue 16 Dec 9:29 a.m.,105,,,-41.69307,174.087738
HQN882,"State Highway 1, Seddon, Marlborough",HQN882,Tue 16 Dec 9:29 a.m.,101,,,-41.69045,174.079528
HQN882,"State Highway 1, Seddon, Marlborough",HQN882,Tue 16 Dec 9:30 a.m.,104,,,-41.6884,174.079254
HQN882,"State Highway 1, Seddon, Marlborough",HQN882,Tue 16 Dec 9:35 a.m.,106,,,-41.65216,174.077041
HQN882,"State Highway 1, Seddon, Marlborough",HQN882,Tue 16 Dec 9:35 a.m.,106,,,-41.65166,174.076812
HQN882,"State Highway 1, Seddon, Marlborough",HQN882,Tue 16 Dec 9:36 a.m.,103,,,-41.64793,174.074996
HQN882,"State Highway 1, Seddon, Marlborough",HQN882,Tue 16 Dec 9:36 a.m.,102,,,-41.64368,174.072509
HQN882,"State Highway 1, Seddon, Marlborough",HQN882,Tue 16 Dec 9:46 a.m.,102,,,-41.56127,174.035644
HQN882,"State Highway 1, Riverlands, Marlborough",HQN882,Tue 16 Dec 10:49 a.m.,103,,,-41.53995,174.026947
HQN882,"State Highway 1, Riverlands, Marlborough",HQN882,Tue 16 Dec 10:49 a.m.,107,,,-41.54265,174.031936
HQN882,"State Highway 1, Ward, Marlborough",HQN882,Tue 16 Dec 11:21 a.m.,101,,,-41.84579,174.121963
HQN882,"State Highway 1, Ward, Marlborough",HQN882,Tue 16 Dec 11:22 a.m.,102,,,-41.85798,174.11676
HQN882,"State Highway 1, Ward, Marlborough",HQN882,Tue 16 Dec 11:22 a.m.,104,,,-41.85873,174.11705
HQN882,"State Highway 1, Kekerengu, Kaikoura",HQN882,Tue 16 Dec 11:42 a.m.,103,,,-42.01662,173.995742
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 11:43 a.m.,101,,,-42.03409,173.976272
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 11:49 a.m.,104,,,-42.10858,173.925872
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 11:50 a.m.,102,,,-42.11753,173.923294
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 11:50 a.m.,107,,,-42.12204,173.922698
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 11:50 a.m.,113,,,-42.12669,173.921875
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 11:51 a.m.,104,,,-42.13133,173.921813
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 11:51 a.m.,101,,,-42.13706,173.922164
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 11:51 a.m.,104,,,-42.14031,173.92337
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 11:54 a.m.,102,,,-42.16213,173.909698
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 11:54 a.m.,102,,,-42.16289,173.909866
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 11:55 a.m.,102,,,-42.18109,173.894378
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 11:56 a.m.,104,,,-42.19112,173.882751
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 11:57 a.m.,103,,,-42.19515,173.879257
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 11:57 a.m.,103,,,-42.1993,173.876708
HQN882,"State Highway 1, Clarence, Kaikoura",HQN882,Tue 16 Dec 11:57 a.m.,103,,,-42.20381,173.875549
HQN882,"Kincaid Road, Kaikoura, Kaikoura",HQN882,Tue 16 Dec 12:14 p.m.,104,,,-42.33044,173.709899
HQN882,"Kincaid Road, Kaikoura, Kaikoura",HQN882,Tue 16 Dec 12:15 p.m.,105,,,-42.33657,173.700393
HQN882,"Kincaid Road, Kaikoura, Kaikoura",HQN882,Tue 16 Dec 12:15 p.m.,102,,,-42.33965,173.695556
HQN882,"State Highway 1, Kaikoura, Kaikoura",HQN882,Tue 16 Dec 12:24 p.m.,102,,,-42.41176,173.668106
HQN882,"State Highway 1, Kaikoura, Kaikoura",HQN882,Tue 16 Dec 12:24 p.m.,102,,,-42.41249,173.655502
HQN882,"Hundalee Road, Hundalee, Hurunui",HQN882,Tue 16 Dec 12:54 p.m.,101,,,-42.58348,173.425384
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 12:58 p.m.,105,,,-42.61322,173.382171
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 12:59 p.m.,109,,,-42.6149,173.376129
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 12:59 p.m.,101,,,-42.61736,173.370666
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 1:03 p.m.,104,,,-42.64867,173.316757
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 1:03 p.m.,106,,,-42.6533,173.316146
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 1:04 p.m.,103,,,-42.65794,173.316894
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 1:05 p.m.,103,,,-42.66997,173.310058
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 1:05 p.m.,101,,,-42.67392,173.307067
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 1:05 p.m.,102,,,-42.67852,173.306396
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 1:05 p.m.,101,,,-42.68307,173.305557
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 1:06 p.m.,101,,,-42.69095,173.30014
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 1:07 p.m.,101,,,-42.69993,173.301559
HQN882,"Parnassus Road, Parnassus, Hurunui",HQN882,Tue 16 Dec 1:07 p.m.,101,,,-42.70431,173.299255
HQN882,"Domett Road, Cheviot, Hurunui",HQN882,Tue 16 Dec 1:23 p.m.,102,,,-42.83106,173.251113
HQN882,"Domett Road, Cheviot, Hurunui",HQN882,Tue 16 Dec 1:24 p.m.,101,,,-42.85327,173.230758
HQN882,"Domett Road, Cheviot, Hurunui",HQN882,Tue 16 Dec 1:25 p.m.,101,,,-42.85641,173.226303
HQN882,"Greta Road, Tormore, Hurunui",HQN882,Tue 16 Dec 1:33 p.m.,102,,,-42.90568,173.098297
HQN882,"Greta Road, Tormore, Hurunui",HQN882,Tue 16 Dec 1:34 p.m.,101,,,-42.91754,173.097808
HQN882,"Greta Road, Tormore, Hurunui",HQN882,Tue 16 Dec 1:35 p.m.,103,,,-42.92853,173.086868
HQN882,"Greta Road, Tormore, Hurunui",HQN882,Tue 16 Dec 1:35 p.m.,101,,,-42.93138,173.081893
HQN882,"Greta Road, Tormore, Hurunui",HQN882,Tue 16 Dec 1:37 p.m.,103,,,-42.94161,173.050033
HQN882,"Greta Road, Motunau Beach, Hurunui",HQN882,Tue 16 Dec 1:38 p.m.,102,,,-42.94881,173.035934
HQN882,"Greta Road, Motunau Beach, Hurunui",HQN882,Tue 16 Dec 1:39 p.m.,101,,,-42.95076,173.030334
HQN882,"Omihi Road, Omihi, Hurunui",HQN882,Tue 16 Dec 1:46 p.m.,102,,,-42.9917,172.897171
HQN882,"Glasnevin Road, Waipara, Hurunui",HQN882,Tue 16 Dec 1:57 p.m.,101,,,-43.0785,172.747222
HQN882,"Ashworths Road, Leithfield Beach, Hurunui",HQN882,Tue 16 Dec 2:17 p.m.,101,,,-43.21559,172.734603
HQN882,"Christchurch Northern Motorway, Kaiapoi, Waimakariri",HQN882,Tue 16 Dec 2:33 p.m.,105,,,-43.37906,172.644729
HQN882,"Christchurch Northern Motorway, Clarkville, Waimakariri",HQN882,Tue 16 Dec 2:35 p.m.,101,,,-43.41057,172.645462
HQN882,"Christchurch Northern Motorway, Coutts Island, Christchurch City",HQN882,Tue 16 Dec 2:35 p.m.,101,,,-43.41506,172.646774
HQN882,"Christchurch Northern Motorway, Coutts Island, Christchurch City",HQN882,Tue 16 Dec 2:35 p.m.,104,,,-43.41957,172.648101
HQN882,"Christchurch Northern Motorway, Coutts Island, Christchurch City",HQN882,Tue 16 Dec 2:36 p.m.,103,,,-43.42418,172.649124
HQN882,"Near Christchurch Northern Motorway, Belfast, Christchurch 8083.",HQN882,Tue 16 Dec 2:36 p.m.,102,,,-43.43166,172.642822
HQN882,"Tai Tapu Road, Tai Tapu, Selwyn",HQN882,Wed 17 Dec 11:20 a.m.,101,,,-43.61858,172.558197
HQN882,"Tai Tapu Road, Tai Tapu, Selwyn",HQN882,Wed 17 Dec 11:21 a.m.,101,,,-43.6232,172.557464
HQN882,"Tai Tapu Road, Tai Tapu, Selwyn",HQN882,Wed 17 Dec 11:22 a.m.,101,,,-43.64114,172.553802
HQN883,"Main South Road, Templeton, Christchurch City",HQN883,Thu 11 Dec 7:16 a.m.,101,,,-43.55772,172.466461
HQN883,"Main South Road, Burnham, Selwyn",HQN883,Thu 11 Dec 7:25 a.m.,104,,,-43.61729,172.309432
HQN883,"Main South Road, Bankside, Selwyn",HQN883,Thu 11 Dec 7:41 a.m.,101,,,-43.73394,172.049865
HQN883,"Rakaia Highway, Rakaia, Ashburton",HQN883,Thu 11 Dec 7:44 a.m.,101,,,-43.76358,172.020797
HQN883,"Hinds Highway, Winslow, Ashburton",HQN883,Thu 11 Dec 8:08 a.m.,112,,,-43.94853,171.66777
HQN883,"Rangitata Highway, Hinds, Ashburton",HQN883,Thu 11 Dec 8:17 a.m.,101,,,-44.01833,171.524215
HQN883,"Near Rangitata Highway, Hinds 7773.",HQN883,Thu 11 Dec 8:18 a.m.,108,,,-44.01992,171.518096
HQN883,"Near Rangitata Highway, Hinds 7773.",HQN883,Thu 11 Dec 8:18 a.m.,108,,,-44.02145,171.512069
HQN883,"OrarI-Rangitata Highway, Rangitata, Timaru",HQN883,Thu 11 Dec 8:26 a.m.,102,,,-44.06975,171.366058
HQN883,"TemukA-Orari Highway, Orari, Timaru",HQN883,Thu 11 Dec 8:33 a.m.,101,,,-44.1534,171.291076
HQN883,"TemukA-Orari Highway, Temuka, Timaru",HQN883,Thu 11 Dec 8:37 a.m.,110,,,-44.19778,171.278411
HQN883,"TimarU-Temuka Highway, Levels, Timaru",HQN883,Thu 11 Dec 8:48 a.m.,103,,,-44.31596,171.247558
HQN883,"TimarU-Temuka Highway, Levels, Timaru",HQN883,Thu 11 Dec 8:48 a.m.,110,,,-44.32028,171.245758
HQN883,"TimarU-Temuka Highway, Levels, Timaru",HQN883,Thu 11 Dec 8:48 a.m.,102,,,-44.32461,171.244033
HQN883,"OrarI-Rangitata Highway, Rangitata, Timaru",HQN883,Thu 11 Dec 10:49 a.m.,101,,,-44.10444,171.316497
HQN883,"OrarI-Rangitata Highway, Rangitata, Timaru",HQN883,Thu 11 Dec 10:49 a.m.,102,,,-44.10021,171.318908
HQN883,"Rangitata Highway, Hinds, Ashburton",HQN883,Thu 11 Dec 10:58 a.m.,101,,,-44.03215,171.469192
HQN883,"Rangitata Highway, Hinds, Ashburton",HQN883,Thu 11 Dec 10:58 a.m.,104,,,-44.0306,171.475326
HQN883,"Main South Road, Bankside, Selwyn",HQN883,Thu 11 Dec 12:25 p.m.,101,,,-43.71422,172.071914
HQN883,"Main South Road, Dunsandel, Selwyn",HQN883,Thu 11 Dec 12:33 p.m.,107,,,-43.65489,172.208145
HQN883,"Main South Road, Dunsandel, Selwyn",HQN883,Thu 11 Dec 12:33 p.m.,106,,,-43.65269,172.213897
HQN883,"Main South Road, Templeton, Christchurch City",HQN883,Thu 11 Dec 12:48 p.m.,103,,,-43.55917,172.462951
HQN883,"Rakaia Highway, Chertsey, Ashburton",HQN883,Sat 13 Dec 11:42 a.m.,105,,,-43.77865,171.987457
HQN883,"Rakaia Highway, Chertsey, Ashburton",HQN883,Sat 13 Dec 11:42 a.m.,104,,,-43.78107,171.981887
HQN883,"Rakaia Highway, Chertsey, Ashburton",HQN883,Sat 13 Dec 11:47 a.m.,109,,,-43.81649,171.899215
HQN883,"GeraldinE-Fairlie Highway, Beautiful Valley, Timaru",HQN883,Sat 13 Dec 12:50 p.m.,104,,,-44.12339,171.073089
HQN883,"FairliE-Tekapo Road, Fairlie, Mackenzie",HQN883,Sat 13 Dec 1:12 p.m.,112,,,-44.0816,170.807846
HQN883,"FairliE-Tekapo Road, Fairlie, Mackenzie",HQN883,Sat 13 Dec 1:21 p.m.,101,,,-44.05177,170.679138
HQN883,"TwizeL-Omarama Road, Lake Ohau, WaitakI-Canterbury",HQN883,Sat 13 Dec 2:25 p.m.,101,,,-44.31089,170.057556
HQN883,"Gibbston Highway, Gibbston, QueenstowN-Lakes",HQN883,Mon 15 Dec 8:38 a.m.,105,,,-44.99256,168.867919
HQN883,"FairliE-Tekapo Road, Burkes Pass, Mackenzie",HQN883,Mon 15 Dec 12:27 p.m.,101,,,-44.09022,170.605331
HQN883,"Rangitata Highway, Hinds, Ashburton",HQN883,Mon 15 Dec 1:33 p.m.,105,,,-44.04291,171.427383
HQN883,"Rakaia Highway, Fairton, Ashburton",HQN883,Mon 15 Dec 2:14 p.m.,107,,,-43.85756,171.81845
HQN883,"Main South Road, Bankside, Selwyn",HQN883,Mon 15 Dec 2:33 p.m.,104,,,-43.69602,172.098663
HQN883,"Main South Road, Burnham, Selwyn",HQN883,Mon 15 Dec 2:47 p.m.,101,,,-43.60878,172.331832
HQN883,"Main South Road, Burnham, Selwyn",HQN883,Wed 17 Dec 1:08 p.m.,102,,,-43.61716,172.309631
HQN883,"Main South Road, Burnham, Selwyn",HQN883,Wed 17 Dec 1:10 p.m.,101,,,-43.62993,172.276016
HQN883,"Main South Road, Burnham, Selwyn",HQN883,Wed 17 Dec 1:11 p.m.,101,,,-43.63417,172.264785
HQN883,"Main South Road, Dunsandel, Selwyn",HQN883,Wed 17 Dec 1:12 p.m.,101,,,-43.64498,172.236068
HQN883,"Main South Road, Dunsandel, Selwyn",HQN883,Wed 17 Dec 1:12 p.m.,101,,,-43.64711,172.230468
HQN883,"Rakaia Highway, Allenton, Ashburton",HQN883,Wed 17 Dec 1:45 p.m.,101,,,-43.88314,171.778839
HQN883,"Rakaia Highway, Fairton, Ashburton",HQN883,Wed 17 Dec 3:18 p.m.,118,,,-43.85567,171.821319
